Unnamed: 0,session__sessionId,Experiment,Answer,Type,lvlAfter,lvlBefore,Course
569,299,herd-1,True,herding,1.0,2.0,CS
570,787,herd-1,True,herding,4.0,1.0,CS
571,787,herd-1,True,herding,4.0,1.0,CS
572,787,herd-1,False,herding,4.0,1.0,CS
573,787,herd-1,True,herding,4.0,1.0,CS
574,787,herd-1,False,herding,4.0,1.0,CS
575,805,herd-1,True,herding,1.0,0.0,CS
576,805,herd-1,True,herding,1.0,0.0,CS
577,805,herd-1,True,herding,1.0,0.0,CS
578,805,herd-1,True,herding,1.0,0.0,CS
579,805,herd-1,False,herding,1.0,0.0,CS
580,565,herd-1,True,herding,1.0,1.0,CS
